                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3805,                 1.6609,                 1.5447,                0.65328,                0.75543,                0.75691,                 0.4588,                 1.3268,                 1.0573,                 1.6302,              0.0033245,              0.0033245,              0.0033245
                      2,                 1.2766,                 1.1059,                 1.4074,                0.71627,                0.71205,                0.75035,                 0.4438,                 1.3633,                 1.0485,                 1.6721,              0.0066249,              0.0066249,              0.0066249
                      3,                 1.3302,                 1.1826,                 1.4573,                0.61939,                0.64189,                0.64602,                0.38009,                 1.4015,                 1.3134,                 1.7613,              0.0098923,              0.0098923,              0.0098923
                      4,                 1.3721,                 1.2872,                 1.4935,                0.60446,                0.65688,                0.65053,                0.35479,                 1.5457,                 1.3714,                 1.8852,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3633,                 1.2553,                 1.4885,                0.70902,                0.67399,                0.72068,                0.41684,                 1.4186,                 1.1111,                 1.7576,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3382,                 1.2094,                 1.4671,                0.70873,                0.72091,                0.75318,                 0.4428,                 1.3919,                 1.0305,                 1.7256,               0.009802,               0.009802,               0.009802
                      7,                 1.3272,                 1.1749,                 1.4537,                0.70952,                0.75744,                0.76373,                0.45575,                 1.3561,                 0.9818,                 1.6479,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3141,                 1.1456,                 1.4433,                0.77039,                  0.721,                0.78418,                 0.4802,                 1.3507,                0.96441,                 1.6647,               0.009703,               0.009703,               0.009703
                      9,                  1.305,                 1.1152,                 1.4361,                0.76526,                0.76739,                0.80925,                0.48544,                 1.3788,                0.92275,                 1.7119,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2866,                 1.0889,                   1.43,                0.73778,                0.75993,                0.78996,                0.49021,                 1.3242,                  0.912,                 1.6299,               0.009604,               0.009604,               0.009604
                     11,                 1.2803,                 1.0685,                 1.4175,                0.78295,                0.75352,                0.82418,                 0.5137,                 1.3168,                0.87104,                 1.6284,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2639,                 1.0467,                 1.4088,                0.81001,                0.76573,                0.83514,                 0.5167,                 1.3165,                0.83316,                 1.6106,               0.009505,               0.009505,               0.009505
                     13,                 1.2636,                 1.0336,                   1.41,                 0.7781,                0.82236,                0.83579,                0.52193,                 1.3095,                 0.8295,                 1.6076,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2733,                 1.0185,                 1.4104,                0.79216,                0.80914,                0.85236,                0.53055,                 1.3071,                0.80308,                 1.6236,               0.009406,               0.009406,               0.009406
                     15,                 1.2519,                0.99635,                 1.4033,                0.78653,                0.79356,                0.83731,                0.52219,                 1.3093,                 0.8366,                 1.6141,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2436,                0.99534,                 1.3912,                 0.7991,                0.80942,                0.84332,                0.53485,                  1.277,                0.80248,                 1.5832,               0.009307,               0.009307,               0.009307
                     17,                 1.2299,                0.97485,                 1.3808,                0.83859,                0.82466,                0.86308,                0.55418,                 1.2616,                0.75293,                 1.5504,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2321,                0.96374,                 1.3845,                0.82918,                0.81364,                0.86768,                 0.5501,                 1.2887,                0.75271,                 1.5949,               0.009208,               0.009208,               0.009208
                     19,                 1.2335,                 0.9567,                 1.3848,                0.82482,                0.84319,                0.87094,                0.55452,                 1.2681,                0.72272,                 1.5654,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2318,                0.93775,                 1.3759,                0.83986,                0.83899,                0.87251,                0.54944,                 1.2879,                0.74278,                 1.5904,               0.009109,               0.009109,               0.009109
                     21,                 1.2217,                0.94026,                 1.3756,                0.84416,                0.85276,                0.88612,                0.56827,                 1.2629,                0.71633,                 1.5613,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2091,                0.92149,                   1.37,                0.82333,                0.84253,                0.87323,                0.57286,                 1.2327,                0.70924,                 1.5339,                0.00901,                0.00901,                0.00901
                     23,                 1.2092,                0.92397,                 1.3734,                0.83761,                0.82389,                0.87077,                0.56778,                 1.2482,                0.69952,                 1.5439,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2058,                0.91092,                 1.3596,                0.84774,                0.84452,                0.88315,                 0.5702,                 1.2418,                0.68376,                  1.532,               0.008911,               0.008911,               0.008911
                     25,                 1.1981,                0.88902,                  1.358,                0.82936,                0.84414,                0.87593,                0.55688,                 1.2734,                0.70156,                 1.5669,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1899,                0.89704,                 1.3583,                0.84239,                0.86163,                 0.8892,                0.57772,                 1.2371,                0.68336,                  1.528,               0.008812,               0.008812,               0.008812
                     27,                 1.1965,                0.88778,                  1.355,                0.83633,                0.85941,                0.89443,                0.57797,                 1.2272,                0.67432,                 1.5344,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.1912,                0.88082,                 1.3554,                 0.8559,                0.86668,                0.89836,                0.58649,                 1.2357,                0.65701,                 1.5312,               0.008713,               0.008713,               0.008713
                     29,                 1.1882,                0.86838,                 1.3533,                  0.831,                0.85378,                0.88058,                0.57877,                 1.2305,                0.66638,                  1.522,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.1861,                0.86791,                 1.3522,                0.87161,                0.86811,                0.90228,                0.59323,                 1.2252,                0.64105,                 1.5184,               0.008614,               0.008614,               0.008614
                     31,                 1.1791,                0.86231,                 1.3473,                0.87011,                0.87447,                0.90284,                0.59324,                 1.2263,                0.63988,                 1.5169,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.1825,                0.85006,                  1.343,                0.86327,                0.87113,                0.89336,                0.58506,                 1.2218,                0.65339,                 1.5159,               0.008515,               0.008515,               0.008515
                     33,                   1.17,                0.84712,                 1.3401,                 0.8615,                0.88308,                0.89687,                0.59144,                 1.2156,                0.64509,                  1.506,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.1708,                0.83542,                 1.3389,                0.88223,                0.85964,                0.90326,                0.59924,                 1.2158,                0.62911,                 1.5047,               0.008416,               0.008416,               0.008416
                     35,                 1.1623,                0.82841,                 1.3321,                 0.8654,                0.89034,                0.90459,                0.59823,                 1.2084,                0.61025,                 1.4992,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1638,                0.83222,                 1.3375,                 0.8709,                0.87631,                0.90375,                0.59352,                 1.2285,                0.63245,                 1.5209,               0.008317,               0.008317,               0.008317
                     37,                 1.1559,                 0.8199,                 1.3353,                0.83994,                0.88848,                0.90269,                0.59852,                 1.2161,                0.62594,                 1.5122,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.167,                0.83484,                 1.3393,                0.88078,                0.88385,                0.90859,                0.60496,                 1.2103,                0.61084,                 1.5119,               0.008218,               0.008218,               0.008218
                     39,                 1.1549,                0.81474,                 1.3299,                0.88019,                0.87258,                0.90276,                0.59862,                 1.2197,                 0.6187,                 1.5211,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.1604,                0.81897,                 1.3296,                 0.8735,                0.88987,                0.90905,                 0.6034,                 1.2206,                0.61885,                 1.5071,               0.008119,               0.008119,               0.008119
                     41,                 1.1508,                 0.8007,                 1.3311,                0.88857,                 0.8818,                0.90887,                 0.6042,                 1.1915,                0.59286,                 1.4964,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.147,                0.80143,                 1.3261,                0.88098,                0.89628,                  0.911,                0.60528,                 1.2065,                0.58641,                 1.5036,                0.00802,                0.00802,                0.00802
                     43,                 1.1445,                0.79322,                 1.3247,                0.85391,                0.90677,                0.90609,                0.61004,                 1.1932,                 0.5983,                 1.4872,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.1426,                0.78107,                 1.3165,                0.87066,                0.90636,                0.91311,                 0.6098,                 1.1959,                 0.5829,                 1.4975,               0.007921,               0.007921,               0.007921
                     45,                  1.136,                0.78374,                 1.3171,                0.88196,                0.89123,                0.91111,                0.61443,                 1.1878,                0.58201,                 1.4845,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.1398,                0.77851,                 1.3206,                 0.8823,                0.89334,                0.91413,                0.62107,                 1.1804,                0.57892,                  1.477,               0.007822,               0.007822,               0.007822
                     47,                 1.1347,                0.77137,                 1.3162,                0.87421,                0.91269,                0.91286,                0.61537,                 1.1779,                 0.5715,                 1.4751,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.1211,                0.75864,                 1.3061,                 0.8792,                0.90656,                0.90603,                0.61488,                 1.1956,                0.56791,                 1.4845,               0.007723,               0.007723,               0.007723
                     49,                  1.131,                0.76142,                 1.3124,                 0.8621,                 0.9181,                0.91778,                0.61909,                 1.1798,                0.57525,                  1.477,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.1261,                0.76502,                 1.3094,                0.87717,                0.91633,                0.91535,                0.62101,                 1.1961,                0.56967,                 1.4871,               0.007624,               0.007624,               0.007624
